InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost
48910855,331710882920,943827446009,LinkedLineItem,400000000221774000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,EquipeInfra,"Rua Guararapes 2064, 14 andar, Sao Paulo, SP, 04561001, BR",,csgz12tbs3ke0e6cf85jyj59w,Netgate pfSense Certified Router/Firewall/VPN,"Rubicon Communications, LP",SoftwareUsage:c3.large,Hourly,3243936,AWS Marketplace Hourly Fee us-east-1 c3.large,01/01/2015 00:00:00,31/01/2015 23:59:00,"385,00000000","0,0700000000",USD,"26,95",0,0,None,"26,95"
48910855,331710882920,943827446009,LinkedLineItem,400000000222356000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,EquipeInfra,"Rua Guararapes 2064, 14 andar, Sao Paulo, SP, 04561001, BR",,csgz12tbs3ke0e6cf85jyj59w,Netgate pfSense Certified Router/Firewall/VPN,"Rubicon Communications, LP",SoftwareUsage:m3.medium,Hourly,3243920,AWS Marketplace Hourly Fee us-east-1 m3.medium,01/01/2015 00:00:00,31/01/2015 23:59:00,"1.272,00000000","0,0700000000",USD,"89,04","0,00",0,None,"89,04"
48910855,331710882920,943827446009,LinkedLineItem,400000000222356000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,EquipeInfra,"Rua Guararapes 2064, 14 andar, Sao Paulo, SP, 04561001, BR",,csgz12tbs3ke0e6cf85jyj59w,Netgate pfSense Certified Router/Firewall/VPN,"Rubicon Communications, LP",SoftwareUsage:t2.micro,Hourly,3243823,AWS Marketplace Hourly Fee us-east-1 t2.micro,01/01/2015 00:00:00,31/01/2015 23:59:00,"817,00000000","0,0700000000",USD,"57,19","0,00",0,None,"57,19"
48910855,331710882920,902914468260,LinkedLineItem,400000000220391000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,infra,"IRINEU MARINHO 35 - CIDADE NOVA, RIO DE JANEIRO, RJ, 20230901, BR",,3zbrm8sezj3ri0m1c8akolpcp,Wowza Streaming Engine 4: Standard,"Wowza Media Systems, Inc.",SAE1-SoftwareUsage:m3.xlarge,Hourly,3364980,AWS Marketplace Hourly Fee sa-east-1 m3.xlarge,01/01/2015 00:00:00,31/01/2015 23:59:00,"445,00000000","0,4130000000",USD,"183,79","0,00",0,None,"183,79"
48910855,331710882920,902914468260,LinkedLineItem,400000000223353000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,infra,"IRINEU MARINHO 35 - CIDADE NOVA, RIO DE JANEIRO, RJ, 20230901, BR",,3zbrm8sezj3ri0m1c8akolpcp,Wowza Streaming Engine 4: Standard,"Wowza Media Systems, Inc.",,,,Recurring Fee,01/02/2015 00:00:00,28/02/2015 23:59:00,"0,00000000","15,0000000000",USD,"15,00","0,00",0,None,"15,00"
48910855,331710882920,348063856238,LinkedLineItem,400000000220352000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,Nelson Luis Vitusso,"Av. AratÃƒÂ£s 284, Apto 111, SÃƒÂ£o Paulo, SÃƒÂ£o Paulo, 04081-001, BR",,5iw1a65h915ys7ezy9y58g2ey,WordPress powered by AMIMOTO (PVM),DigitalCube Co. Ltd,SAE1-SoftwareUsage:t1.micro,Hourly,2435829,AWS Marketplace Hourly Fee sa-east-1 t1.micro,01/01/2015 00:00:00,31/01/2015 23:59:00,"744,00000000","0,0000000000",USD,"0,00","0,00",0,None,"0,00"
48910855,331710882920,628632478598,LinkedLineItem,400000000224348000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,Hidrovias,"Avenida Brigadeiro Faria Lima, 1912 Conjunto L, SÃ£o Paulo, SÃ£o Paulo, 01451907, BR",,6kupbml1ef4vjm6810798bx0d,Nagios Network Monitoring System provided by JumpBox,JumpBox Inc.,SoftwareUsage:t1.micro,Hourly,1896581,AWS Marketplace Hourly Fee us-east-1 t1.micro,01/01/2015 00:00:00,31/01/2015 23:59:00,"744,00000000","0,0300000000",USD,"22,32","0,00",0,None,"22,32"
48910855,331710882920,,CBRounding,CBRounding:48910855,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,,"Av. Eng. Luiz Carlos Berrini 550 - cj.32, S?o Paulo - SP - 04571-000, S?o Paulo , SP, 04571-000, BR",,,,,,,,There is a USD 0.005000 difference between the sum of all linked account totals and your invoice total.,,,,,USD,"0,01",,,,"0,01"
48464903,331710882920,352016825477,LinkedLineItem,400000000231040000,01/01/2015 00:00:00,31/01/2015 23:59:00,26/01/2015 12:32:00,Dedalus Consolidada,Uatt,"Av. Eng. Luis Carlos Berrini, 550, Sao Paulo, Sao Paulo, 04571000, BR",,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",,,,"Sign up charge for subscription: 104423244, planId: 503027",26/01/2015 12:30:00,26/01/2016 12:30:00,"1,00000000",,USD,"443,00","0,00",0,None,"443,00"
48452312,331710882920,673391553318,LinkedLineItem,400000000221802000,01/01/2015 00:00:00,31/01/2015 23:59:00,17/01/2015 07:10:00,Dedalus Consolidada,scup,"Av das Nacoes Unidas 12495, 3 andar, Sao Paulo, Sao Paulo, 04578000, BR",,AWSSupportDeveloper,AWS Support (Developer),"Amazon Web Services, Inc.",,,,Refund for recurring fee,17/01/2015 07:08:00,31/01/2015 23:59:00,"1,00000000",,USD,"-23,24","0,00",0,None,"-23,24"
