et 8910855,331710882920,943827446009,LinkedLineItem,400000000221774000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,EquipeInfra,Rua Guararapes 2064, 14 andar, Sao Paulo, SP, 04561001, BR,,csgz12tbs3ke0e6cf85jyj59w,Netgate pfSense Certified Router/Firewall/VPN,Rubicon Communications, LP,SoftwareUsage:c3.large,Hourly,3243936,AWS Marketplace Hourly Fee us-east-1 c3.large,01/01/2015 00:00:00,31/01/2015 23:59:00,385,00000000,0,0700000000,USD,26,95,0,0,None,26,95
48910855,331710882920,943827446009,LinkedLineItem,400000000222356000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,EquipeInfra,Rua Guararapes 2064, 14 andar, Sao Paulo, SP, 04561001, BR,,csgz12tbs3ke0e6cf85jyj59w,Netgate pfSense Certified Router/Firewall/VPN,Rubicon Communications, LP,SoftwareUsage:m3.medium,Hourly,3243920,AWS Marketplace Hourly Fee us-east-1 m3.medium,01/01/2015 00:00:00,31/01/2015 23:59:00,1.272,00000000,0,0700000000,USD,89,04,0,00,0,None,89,04
48910855,331710882920,943827446009,LinkedLineItem,400000000222356000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 10:16:00,Dedalus Consolidada,EquipeInfra,Rua Guararapes 2064, 14 andar, Sao Paulo, SP, 04561001, BR,,csgz12tbs3ke0e6cf85jyj59w,Netgate pfSense Certified Router/Firewall/VPN,Rubicon Communications, LP,SoftwareUsage:t2.micro,Hourly,3243823,AWS Marketplace Hourly Fee us-east-1 t2.micro,01/01/2015 00:00:00,31/01/2015 23:59:00,817,00000000,0,0700000000,USD,57,19,0,00,0,None,57,19
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,SAE1-Requests-Tier1,,3305192,$0.50 per 1,000,000 Amazon SNS API Requests per month thereafter,06/01/2015 16:11:00,31/01/2015 23:59:00,10,00000000,0,0000004000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,USW2-DeliveryAttempts-SQS,,3305177,There is no charge for SQS Notifications,06/01/2015 16:11:00,31/01/2015 23:59:00,3,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,SAE1-DeliveryAttempts-SQS,,3305182,There is no charge for SQS Notifications,06/01/2015 16:11:00,31/01/2015 23:59:00,3,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,SAE1-DataTransfer-In-Bytes,,3510850,$0.000 per GB - data transfer in per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000043,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,DeliveryAttempts-SQS,,3305175,There is no charge for SQS Notifications,06/01/2015 16:11:00,31/01/2015 23:59:00,3,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000234099000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,DataTransfer-Out-Bytes,,3510874,$0.070 per GB - next 100 TB / month data transfer out,06/01/2015 16:09:00,31/01/2015 23:59:00,4,66336967,0,0790456314,USD,0,37,0,00,0,None,0,37
48814732,331710882920,908611282160,LinkedLineItem,400000000223687000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-USW2-AWS-In-Bytes,,3510834,$0.00 per GB - US East (Northern Virginia) data transfer from US West (Oregon),06/01/2015 16:09:00,31/01/2015 23:59:00,0,12210303,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,APN1-DataTransfer-Out-Bytes,,3510894,$0.000 per GB - first 1 GB of data transferred out per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000427,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000226109000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,LoadBalancerUsage,LoadBalancing,3746814,$0.025 per LoadBalancer-hour (or partial hour),06/01/2015 16:09:00,31/01/2015 23:59:00,564,00000000,0,0250000000,USD,14,10,0,00,0,None,14,10
48814732,331710882920,908611282160,LinkedLineItem,400000000226109000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,CW:Requests,,3746803,$0.01 per 1,000 requests,08/01/2015 20:29:00,31/01/2015 23:59:00,906.718,00000000,0,0000100000,USD,9,07,0,00,0,None,9,07
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,USW1-Requests-Tier1,,3305160,First 1,000,000 Amazon SNS API Requests per month are free,06/01/2015 16:11:00,31/01/2015 23:59:00,10,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
